epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.712,1.29419,2.72686,1.40058,0.72278,0.73093,0.77535,0.4916,1.18916,1.52952,1.30436,0.00332506,0.00332506,0.00332506
2,352.701,1.1949,1.69512,1.25859,0.85511,0.76584,0.86623,0.57302,1.0977,1.05299,1.18891,0.00659248,0.00659248,0.00659248
3,522.712,1.24785,1.49694,1.28835,0.73697,0.65879,0.73847,0.45317,1.2912,1.37223,1.31746,0.00979389,0.00979389,0.00979389
4,691.598,1.29791,1.39814,1.32649,0.75418,0.71283,0.80578,0.51504,1.19664,1.14487,1.27087,0.009703,0.009703,0.009703
5,859.846,1.26564,1.21011,1.30259,0.87592,0.81981,0.89045,0.59863,1.18141,0.88531,1.22717,0.009604,0.009604,0.009604
6,1033.08,1.22043,1.10228,1.27036,0.89653,0.87173,0.93821,0.64872,1.07999,0.77369,1.17142,0.009505,0.009505,0.009505
7,1237.95,1.19651,1.03719,1.25552,0.91872,0.8633,0.93419,0.64964,1.09144,0.71704,1.14319,0.009406,0.009406,0.009406
8,1413.87,1.16225,0.972,1.23023,0.89777,0.87544,0.9316,0.64944,1.05578,0.69243,1.14875,0.009307,0.009307,0.009307
9,1584.09,1.1472,0.93428,1.22719,0.91958,0.88022,0.94148,0.67048,1.05025,0.69599,1.16032,0.009208,0.009208,0.009208
10,1757.87,1.12757,0.90109,1.2154,0.8901,0.9153,0.94912,0.68678,1.0281,0.6407,1.1338,0.009109,0.009109,0.009109
11,1929.04,1.10645,0.85987,1.19862,0.94042,0.90213,0.95607,0.69159,1.027,0.58455,1.11884,0.00901,0.00901,0.00901
12,2099.45,1.0817,0.82072,1.18531,0.93919,0.88564,0.9566,0.69308,1.02344,0.59751,1.1241,0.008911,0.008911,0.008911
13,2271.47,1.08168,0.81656,1.18495,0.93744,0.93837,0.96434,0.71644,0.9704,0.5374,1.08654,0.008812,0.008812,0.008812
